ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
ANRO,"Alto Neuroscience, .",0001999480,"Alto Neuroscience, Inc.",2026-05-13,10-Q,263.76,,,263.76,16.02,-27.09,-26.24,20.29,6.84,27.09,9.03,29.2,35093940.0,7.52,True,True,2026-04-20,EFFECT,4,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:2;4:22;8-K:11;ARS:1;CORRESP:2;D:1;DEF 14A:1;DEFA14A:1;EFFECT:2;S-3:2;S-8:1;SCHEDULE 13G:4;SCHEDULE 13G/A:11;UPLOAD:1,2026-06-26T07:18:19+00:00
ANTX,"AN2 Therapeutics, .",0001880438,"AN2 Therapeutics, Inc.",2026-05-11,10-Q,53.49,,,53.49,,-12.07,-10.03,6.74,3.81,12.07,4.02,13.3,36016161.0,1.49,True,True,2026-04-20,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:45;424B3:1;424B5:1;8-K:10;ARS:1;CORRESP:1;D:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13G:5;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:18:20+00:00
APGE,"Apogee Therapeutics, .",0001974640,"Apogee Therapeutics, Inc.",2026-05-11,10-Q,451.8,608.09,198.35,1258.24,,-55.57,-74.11,60.82,21.95,55.57,18.52,67.9,,,True,True,2026-03-25,424B5,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:19;4:46;424B5:4;8-K:15;ARS:1;DEF 14A:1;DEFA14A:3;S-8:1;SCHEDULE 13D/A:4;SCHEDULE 13G:2;SCHEDULE 13G/A:9,2026-06-26T07:18:21+00:00
APRE,"Aprea Therapeutics, .",0001781983,"Aprea Therapeutics, Inc.",2026-05-13,10-Q,46.47,,,46.47,,-2.76,-3.29,4.09,1.82,2.76,0.92,50.6,12382776.0,3.75,True,True,2026-04-29,EFFECT,9,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:17;424B3:3;424B7:1;8-K:15;ARS:1;CORRESP:1;D:1;DEF 14A:1;DEFA14A:1;EFFECT:3;PRE 14A:1;S-3:3;S-3/A:1;S-8:2;SCHEDULE 13G:4;SCHEDULE 13G/A:5;UPLOAD:1,2026-06-26T07:18:22+00:00
APUS,"Apimeds Pharmaceuticals US, .",0001894525,"Apimeds Pharmaceuticals US, Inc.",2026-05-26,10-Q,0.98,1.5,,2.48,0.02,-2.07,-35.06,0.9,11.28,2.07,0.69,3.6,15091177.0,0.16,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:12;4/A:1;425:3;8-K:13;8-K/A:3;DEFM14C:1;NT 10-K:1;NT 10-Q:2;PREM14C:1;SCHEDULE 13D/A:4;SCHEDULE 13G:1,2026-06-26T07:18:23+00:00
APVO,Aptevo Therapeutics .,0001671584,Aptevo Therapeutics Inc.,2026-05-13,10-Q,14.53,9.19,,23.72,3.46,-7.96,-6.7,3.92,2.91,7.96,2.65,8.9,1246105.0,19.03,True,True,2026-01-30,EFFECT,6,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:4;4:21;424B4:3;8-K:18;ARS:1;CORRESP:3;DEF 14A:2;EFFECT:3;PRE 14A:1;S-1:3;SCHEDULE 13G:5;SCHEDULE 13G/A:5;UPLOAD:2,2026-06-26T07:18:24+00:00
AQST,"Aquestive Therapeutics, .",0001398733,"Aquestive Therapeutics, Inc.",2026-05-13,10-Q,110.73,,,110.73,,-14.81,-8.06,4.2,,14.81,4.94,22.4,125450119.0,0.88,False,True,2025-08-14,424B5,1,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:12;3:3;4:46;424B5:1;8-K:18;ARS:1;DEF 14A:1;DEFA14A:1;S-8:2;SCHEDULE 13G:1;SCHEDULE 13G/A:1,2026-06-26T07:18:25+00:00
ARCT,Arcturus Therapeutics .,0001768224,Arcturus Therapeutics Holdings Inc.,2026-05-07,10-Q,211.38,,,211.38,75.66,-19.44,-26.96,21.53,9.46,19.44,6.48,32.6,28423069.0,7.44,True,True,2025-12-30,S-3,1,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:2;4:13;4/A:1;8-K:10;DEF 14A:1;NT 10-Q:1;S-3:1;SCHEDULE 13G:1;SCHEDULE 13G/A:9,2026-06-26T07:18:26+00:00
ARGX,argenx SE,0001697862,ARGENX SE,2026-03-19,20-F,,,,,,,,,,,,,61883306.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,20-F:1;6-K:23;S-8:1;SCHEDULE 13G/A:4,2026-06-26T07:18:27+00:00
ARMP,"Armata Pharmaceuticals, .",0000921114,"Armata Pharmaceuticals, Inc.",2026-05-13,10-Q,4.75,,,4.75,,-5.78,-115.35,1.49,3.46,5.78,1.93,2.5,36710.0,129.5,False,True,2025-12-01,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:13;424B5:1;8-K:16;8-K/A:1;ARS:1;CORRESP:1;DEF 14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:3;UPLOAD:1,2026-06-26T07:18:29+00:00
ARQT,"Arcutis Biotherapeutics, .",0001787306,"Arcutis Biotherapeutics, Inc.",2026-05-06,10-Q,34.76,,,34.76,109.42,2.24,-11.29,30.63,27.62,11.29,3.77,9.2,125083374.0,0.28,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:66;144/A:1;3:1;4:67;4/A:1;8-K:6;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:2;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:8,2026-06-26T07:18:30+00:00
ARTL,"Artelo Biosciences, .",0001621221,"ARTELO BIOSCIENCES, INC.",2026-05-14,10-Q,10.27,1.99,0.0,12.26,0.79,-1.19,-2.96,0.77,1.92,1.19,0.4,30.9,2333540.0,5.25,True,True,2026-05-26,424B5,22,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent,AvailableForSaleSecuritiesCurrent | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:1;4:12;424B3:1;424B5:9;8-K:30;ARS:2;CORRESP:6;D:8;DEF 14A:3;DEFA14A:2;DRS:2;EFFECT:6;PRE 14A:2;PRER14A:1;RW:1;S-1:5;S-1/A:2;S-3:1;S-3/A:1;SCHEDULE 13D:1;SCHEDULE 13D/A:3;SCHEDULE 13G:2;UPLOAD:3,2026-06-26T07:18:31+00:00
ARTV,"Artiva Biotherapeutics, .",0001817241,"Artiva Biotherapeutics, Inc.",2026-05-08,10-Q,20.95,65.83,,86.78,,-20.95,-23.52,19.31,5.12,20.95,6.98,12.4,24716672.0,3.51,True,True,2026-05-08,424B5,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;144:9;3:2;4:40;424B5:1;8-K:10;CORRESP:1;EFFECT:1;FWP:1;S-3:1;S-8:2;SCHEDULE 13D/A:3;SCHEDULE 13G:1;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:18:32+00:00
ARVN,"Arvinas, .",0001655759,"ARVINAS, INC.",2026-05-11,10-Q,87.3,527.6,,614.9,0.5,-69.2,-57.6,60.3,19.1,69.2,23.07,26.7,64521198.0,9.53,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:15;3:1;4:34;4/A:1;8-K:20;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:3,2026-06-26T07:18:34+00:00
ARWR,"Arrowhead Pharmaceuticals, .",0000879407,"ARROWHEAD PHARMACEUTICALS, INC.",2026-05-07,10-Q,188.52,1595.57,17.81,1801.9,,13.48,-132.73,173.25,46.02,132.73,44.24,40.7,140857021.0,12.79,True,True,2026-01-09,424B5,6,MEDIUM,GOOD,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-K/A:1;10-Q:3;144:26;144/A:4;3:2;305B2:1;4:32;424B5:4;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;FWP:2;S-3ASR:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:4;SCHEDULE 13G/A:5,2026-06-26T07:18:35+00:00
ASBP,"Aspire Biopharma , .",0001847345,"Aspire Biopharma Holdings, Inc.",2026-05-15,10-Q,5.86,,,5.86,0.14,-3.04,-3.22,0.3,1.02,3.04,1.01,5.8,1295234.0,4.52,True,True,2026-04-14,EFFECT,6,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;10-Q/A:2;8-K:21;8-K/A:1;CORRESP:3;DEF 14A:3;DEFR14A:1;EFFECT:3;PRE 14A:3;S-1:3;S-1/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:18:36+00:00
ASMB,"Assembly Biosciences, .",0001426800,"ASSEMBLY BIOSCIENCES, INC.",2026-05-07,10-Q,31.12,139.55,0.0,170.67,0.42,-22.1,-9.08,14.9,4.68,22.1,7.37,23.2,15892608.0,10.74,True,True,2026-05-26,424B5,9,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:19;424B3:1;424B5:4;8-K:11;ARS:1;CORRESP:2;DEF 14A:1;DEFA14A:1;EFFECT:2;S-3:2;S-3MEF:1;S-8:2;SCHEDULE 13D/A:2;SCHEDULE 13G:6;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:18:38+00:00
ASND,Ascendis Pharma A/S - Ordinary Share,0001612042,Ascendis Pharma A/S,2026-02-11,20-F,,,,,,,,,,,,,61977408.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,144:34;144/A:1;20-F:1;3:15;3/A:1;4:5;6-K:43;8-A12B/A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:10;SD:1,2026-06-26T07:18:39+00:00
ATHE,Alterity Therapeutics,0001131343,ALTERITY THERAPEUTICS LTD,2025-08-29,20-F,,,,,,,,,,,,,9127370686.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,20-F:1;3:6;4:2;6-K:84,2026-06-26T07:18:40+00:00
ATLN,Atlantic International .,0001605888,ATLANTIC INTERNATIONAL CORP.,2026-06-22,10-Q,24.1,1.53,5.98,31.61,675.13,-9.89,-30.75,0.32,0.75,9.89,3.3,9.6,81293032.0,0.39,True,True,2026-06-24,424B3,13,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:4;4:10;424B3:7;8-K:8;CORRESP:2;DEF 14A:1;DEFA14A:1;DEL AM:1;EFFECT:3;NT 10-K:1;NT 10-Q:1;POS AM:1;PRE 14A:1;RW:2;S-3:2;S-3/A:1;S-8:1;SCHEDULE 13D:1;SCHEDULE 13D/A:4;UPLOAD:1,2026-06-26T07:18:41+00:00
ATNI,"ATN International, .",0000879585,"ATN International, Inc.",2026-05-11,10-Q,108.83,0.4,,109.23,570.16,29.78,-2.8,,25.73,2.8,0.93,117.2,15380853.0,7.1,False,True,2025-08-28,EFFECT,2,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:1;3:1;4:27;5:1;8-K:8;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:18:43+00:00
ATNM,"Actinium Pharmaceuticals, . (Delaware)",0001388320,"Actinium Pharmaceuticals, Inc.",2026-05-08,10-Q,42.13,,,42.13,,-5.87,-5.52,4.2,1.7,5.87,1.96,21.5,31374991.0,1.34,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:1;8-K:4;8-K/A:1;ARS:1;DEF 14A:1;SCHEDULE 13G/A:2,2026-06-26T07:18:44+00:00
ATOS,"Atossa Therapeutics, .",0001488039,"ATOSSA THERAPEUTICS, INC.",2026-05-08,10-Q,31.72,,,31.72,,-9.58,-9.59,4.78,5.09,9.58,3.19,9.9,8611361.0,3.68,True,True,2026-06-12,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:10;4/A:1;424B3:1;424B5:2;8-K:18;ARS:1;DEF 14A:2;PRE 14A:2;SCHEDULE 13G/A:2,2026-06-26T07:18:46+00:00
ATRA,"Atara Biotherapeutics, .",0001604464,"Atara Biotherapeutics, Inc.",2026-05-12,10-Q,8.36,279.8,,288.16,,-3.07,-4.14,0.16,3.6,3.07,1.02,281.3,9010172.0,31.98,True,True,2026-05-12,424B5,5,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:10;3:2;4:21;424B3:1;424B5:2;8-K:15;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:5;SCHEDULE 13G:2;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:18:48+00:00
ATYR,"aTyr Pharma, .",0001339970,aTYR PHARMA INC,2026-05-15,10-Q,10.01,79.0,,89.01,5.8,-12.52,-10.79,7.32,4.12,12.52,4.17,21.3,98051212.0,0.91,False,True,2025-08-18,EFFECT,2,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:14;8-K:9;8-K/A:1;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;PRE 14A:1;S-3:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3;UPLOAD:1,2026-06-26T07:18:49+00:00
AUPH,Aurinia Pharmaceuticals,0001600620,Aurinia Pharmaceuticals Inc.,2026-05-07,10-Q,40.75,,,40.75,,32.56,34.35,7.47,22.03,29.5,9.83,4.1,128601671.0,0.32,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:6;3:2;4:28;8-K:9;DEF 14A:1;SC TO-T:1;SC TO-T/A:1;SCHEDULE 13D/A:4,2026-06-26T07:18:50+00:00
AURA,"Aura Biosciences, .",0001501796,"Aura Biosciences, Inc.",2026-05-11,10-Q,84.79,,,84.79,,-29.89,-33.69,27.96,6.91,29.89,9.96,8.5,103386558.0,0.82,True,True,2026-05-05,424B5,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:14;3:1;4:26;424B5:2;8-K:8;ARS:1;DEF 14A:1;DEFA14A:2;PRE 14A:1;S-3MEF:1;S-8:2;SCHEDULE 13D/A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:5,2026-06-26T07:18:51+00:00
AUTL,Autolus Therapeutics,0001730463,Autolus Therapeutics plc,2026-05-14,10-Q,130.93,,,130.93,0.0,-65.32,-71.6,21.21,27.33,65.32,21.77,6.0,266155786.0,0.49,True,True,2026-05-05,EFFECT,10,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:21;424B3:6;8-K:12;CORRESP:2;DEL AM:2;EFFECT:2;S-3:2;S-8:1;SCHEDULE 13G:1;SCHEDULE 13G/A:7;UPLOAD:2,2026-06-26T07:18:52+00:00
AVBP,"ArriVent BioPharma, .",0001868279,"ArriVent BioPharma, Inc.",2026-05-11,10-Q,62.1,264.28,,326.38,,-41.89,-43.32,37.62,8.49,41.89,13.96,23.4,46574928.0,7.01,True,True,2026-05-11,424B5,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:11;424B5:3;8-K:10;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:4;SCHEDULE 13G/A:10,2026-06-26T07:18:53+00:00
AVIR,"Atea Pharmaceuticals, .",0001593899,"Atea Pharmaceuticals, Inc.",2026-05-12,10-Q,79.32,,,79.32,,-46.39,-45.44,41.13,6.87,46.39,15.46,5.1,80027099.0,0.99,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:16;4/A:1;8-K:6;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G:1;SCHEDULE 13G/A:4,2026-06-26T07:18:54+00:00
AVLN,Avalyn Pharma .,0001540171,Avalyn Pharma Inc.,2026-06-03,10-Q,92.31,30.82,,123.13,14.81,-29.89,-26.87,22.89,5.02,29.89,9.96,12.4,44333095.0,2.78,True,True,2026-04-29,EFFECT,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-Q:1;3:15;4:14;424B4:1;8-A12B:1;8-K:3;CERT:1;DRS:1;DRS/A:1;EFFECT:1;S-1:1;S-1/A:2;S-8:1;SCHEDULE 13D:2;SCHEDULE 13G:2,2026-06-26T07:18:55+00:00
AVTX,"Avalo Therapeutics, .",0001534120,"Avalo Therapeutics, Inc.",2026-05-13,10-Q,24.99,57.01,,81.99,15.3,-17.69,-19.63,2.5,6.85,17.69,5.9,13.9,52565572.0,1.56,True,True,2026-05-07,424B5,4,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:10;3:3;4:54;424B5:2;8-K:18;ARS:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:2;SCHEDULE 13G:18;SCHEDULE 13G/A:25,2026-06-26T07:18:56+00:00
AXSM,"Axsome Therapeutics, .",0001579428,"Axsome Therapeutics, Inc.",2026-05-04,10-Q,305.11,,,305.11,187.85,-20.7,-64.54,52.68,22.02,20.7,6.9,44.2,51459766.0,5.93,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:43;144/A:1;4:45;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G/A:2,2026-06-26T07:18:58+00:00
AYTU,"Aytu BioPharma, .",0001385818,"AYTU BIOPHARMA, INC",2026-05-13,10-Q,26.71,0.0,,26.71,15.42,-0.62,-5.62,0.0,4.97,0.62,0.21,129.7,10733208.0,2.49,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:8;5:1;8-K:9;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:7,2026-06-26T07:18:59+00:00
BANL,CBL International,0001914805,CBL International Ltd,2026-04-17,20-F,9.33,,,9.33,1.89,,,,,,,,27500000.0,0.34,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings | burn_missing,144:1;20-F:1;3:2;6-K:13;SCHEDULE 13G/A:3,2026-06-26T07:19:00+00:00
BAX,Baxter International .,0000010456,BAXTER INTERNATIONAL INC,2026-04-30,10-Q,2017.0,1232.0,,3249.0,0.0,213.0,-15.0,139.0,,15.0,5.0,649.8,516469008.0,6.29,False,True,2025-11-20,424B2,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:1;3:7;4:35;424B2:2;8-K:15;ARS:1;DEF 14A:1;DEFA14A:2;FWP:1;PRE 14A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:11;SD:1,2026-06-26T07:19:02+00:00
BBIO,"BridgeBio Pharma, .",0001743881,"BridgeBio Pharma, Inc.",2026-05-07,10-Q,879.89,7.94,60.69,948.52,3.65,-197.28,-166.56,126.64,45.41,197.28,65.76,14.4,195861242.0,4.84,False,False,,,0,UNKNOWN,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:43;3:1;4:72;4/A:2;8-K:14;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13D/A:5;SCHEDULE 13G:3;SCHEDULE 13G/A:4,2026-06-26T07:19:03+00:00
BBOT,"BridgeBio Oncology Therapeutics, .",0001869105,"BridgeBio Oncology Therapeutics, Inc.",2026-05-12,10-Q,52.66,199.62,136.62,388.89,,-35.92,-42.11,39.8,6.38,35.92,11.97,32.5,80107104.0,4.85,True,True,2026-06-22,424B3,18,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:14;4:33;424B3:11;424B4:1;425:3;8-K:12;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:1;EFFECT:4;POS AM:2;S-1:1;S-4/A:2;S-8:2;SCHEDULE 13D:1;SCHEDULE 13D/A:1;SCHEDULE 13G:3;SCHEDULE 13G/A:3;UPLOAD:2,2026-06-26T07:19:04+00:00
BCAX,Bicara Therapeutics .,0002023658,Bicara Therapeutics Inc.,2026-05-11,10-Q,323.46,534.41,,857.87,,-37.51,-56.21,33.0,12.74,37.51,12.5,68.6,65703866.0,13.06,True,True,2026-02-26,424B5,6,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:49;3:1;4:52;424B5:3;8-K:10;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;FWP:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:4;SCHEDULE 13G/A:10,2026-06-26T07:19:05+00:00
BCRX,"BioCryst Pharmaceuticals, .",0000882796,BIOCRYST PHARMACEUTICALS INC,2026-05-06,10-Q,171.59,66.81,,238.4,395.2,-61.79,-721.81,60.32,2.73,61.79,20.6,11.6,254162660.0,0.94,False,True,2025-12-18,EFFECT,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:14;3:4;4:45;424B3:1;425:5;8-K:19;8-K/A:1;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-4:1;S-4/A:1;S-8:1;SCHEDULE 13G:5;SCHEDULE 13G/A:2,2026-06-26T07:19:07+00:00
